Station 1,1872000
Station 2,1872001
console,1872003
Medic 1,1872110
Engine 11,1872111
Medic 2,1872112
Medic 12,1872113
Medic 11,1872114
Engine 21,1872115
Rescue 1,1872116
Utility 10,1872117
Utility 20,1872119
Engine 21 portable,1872300
Walkie Talkie 15,1872301
Walkie Talkie 23,1872302
Walkie Talkie 21,1872303
Walkie Talkie 16,1872304
Medic 12,1872305
Walkie Talkie 11,1872306
Walkie Talkie 14,1872307
Portable 11,1872308
Walkie Talkie 13,1872309
Rescue 1 portable,1872310
Utility 20,1872311
Portable Medic 1,1872312
Car 2 Medic 11,1872313
Walkie Talkie 22,1872314
Walkie Talkie 18,1872315
Walkie Talkie 24,1872316
Portable Utility 10,1872317
Medic 2 portable,1872318
Portable 12,1872319
Walkie Talkie 17,1872320
Station 1,1872321
Car 3,1872322
Walkie Talkie 10,1872323
Car 2,1872326
Officer 1 portable,1872328
1,1872330
